Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Phalaris arundinacea var. picta,Phalaris,"",arundinacea,,var.,picta,"",kew-433413,TRUE,1.1,Synonym,Poaceae,Phalaris,"",arundinacea,"","",L.,kew-433393,Accepted,TRUE,FALSE,FALSE,2020-10-09,Species
Phalaris canariensis,Phalaris,"",canariensis,,,"","",kew-433438,TRUE,1.1,Accepted,Poaceae,Phalaris,"",canariensis,"","",L.,kew-433438,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Phaseolus acutifolius A.Gray,Phaseolus,"",acutifolius,,,"",A.Gray,ild-20284,TRUE,1.1,Accepted,Leguminosae,Phaseolus,"",acutifolius,"","",A.Gray,ild-20284,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Phaseolus articulatus,Phaseolus,"",articulatus,,,"","","",FALSE,1.1,"","",Phaseolus,"",articulatus,,"","","","",FALSE,FALSE,FALSE,2020-10-09,Genus
Phaseolus coccineus,Phaseolus,"",coccineus,,,"","",ild-2930,TRUE,1.1,Accepted,Leguminosae,Phaseolus,"",coccineus,"","",L.,ild-2930,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Phaseolus latifolius Benth.,Phaseolus,"",latifolius,,,"",Benth.,ild-31063,TRUE,1.1,Synonym,Leguminosae,Vigna,"",adenantha,"","",(G.Mey.) Marechal & al.,ild-31061,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Phaseolus lunatus L.,Phaseolus,"",lunatus,,,"",L.,ild-2932,TRUE,1.1,Accepted,Leguminosae,Phaseolus,"",lunatus,"","",L.,ild-2932,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Phaseolus vulgaris,Phaseolus,"",vulgaris,,,"","",ild-2934,TRUE,1.1,Accepted,Leguminosae,Phaseolus,"",vulgaris,"","",L.,ild-2934,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Phellinus hippophaecola Jahn. ??? DFS TO CHECK,"","",hippophaecola,,,"",Jahn. ??? DFS TO CHECK,"",FALSE,1.1,"","",Phellinus,"",hippophaecola,,"","","","",TRUE,FALSE,FALSE,2020-10-09,
Philadelphus coronarius,Philadelphus,"",coronarius,,,"","",kew-2530174,TRUE,1.1,Accepted,Hydrangeaceae,Philadelphus,"",coronarius,"","",L.,kew-2530174,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Philadelphus x virginalis Rehd.,Philadelphus,×,virginalis,,,"",Rehd.,kew-2530001,TRUE,1.1,Unresolved,Hydrangeaceae,Philadelphus,×,virginalis,"","",Rehder,kew-2530001,Unresolved,FALSE,FALSE,FALSE,2020-10-09,Species
Phillyrea latifolia,Phillyrea,"",latifolia,,,"","",kew-355786,TRUE,1.1,Accepted,Oleaceae,Phillyrea,"",latifolia,"","",L.,kew-355786,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Phillyrea media,Phillyrea,"",media,,,"","",kew-355774,TRUE,1.1,Synonym,Oleaceae,Phillyrea,"",latifolia,"","",L.,kew-355786,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Philodendron angustisectum Engl.,Philodendron,"",angustisectum,,,"",Engl.,kew-151408,TRUE,1.1,Accepted,Araceae,Philodendron,"",angustisectum,"","",Engl.,kew-151408,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
